연번 ,구분 ,관리기관명,운영노선명 ,역명,소재지도로명주소 ,소재지지번주소 ,위도 ,경도 ,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 ,화장실 설치장소 유형,오물처리방식 ,남녀공용화장실여부 ,남성용-대변기수,남성용-유아용대변기수,남성용-소변기수 ,남성용-유아용소변기수,여성용-대변기수,여성용-유아용대변기수,공용-대변기수,공용-유아용대변기수,공용-소변기수 ,공용-유아용소변기수,기저귀교환대설치유무-남자장애인화장실,기저귀교환대설치유무-여자장애인화장실,기저귀교환대설치유무-공용장애인화장실,리모델링 연도,데이터기준일자
73,공중화장실(장애인),서울교통공사,3호선,구파발, 서울특별시 은평구 진관동 67-26 3호선 구파발역 , 서울특별시 은평구 진관동 6 ,37.600702,126.936005,지하,1,외부,4,지하1층 대합실 (가) 표 내는 곳 외부, 02-6110-3201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2010,2024-06-28
74,공중화장실(장애인),서울교통공사,3호선,연신내, 서울특별시 은평구 갈현동 397 연신내역(3호선) , 서울특별시 은평구 갈현동 3 ,37.588672,126.944227,지하,1,내부,3,지하 1층 대합실 라 표 내는 곳 내부, 02-6110-3211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
75,공중화장실(장애인),서울교통공사,3호선,불광, 서울특별시 은평구 대조동 14-1 불광역(3호선) , 서울특별시 은평구 대조동 1 ,37.582361,126.950438,지하,1,외부,3,지하1층 대합실 (나) 표 내는 곳 외부, 02-6110-3221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2015,2024-06-28
76,공중화장실(장애인),서울교통공사,3호선,녹번, 서울특별시 은평구 녹번동 55 지하철3호선 녹번역 , 서울특별시 은평구 녹번동 5 ,37.574301,126.955918,지하,1,외부,5,지하1층 대합실 표 내는 곳 외부, 02-6110-3231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,,,1,2017,2024-06-28
77,공중화장실(장애인),서울교통공사,3호선,홍제, 서울특별시 서대문구 홍제동 161-1 홍제역 , 서울특별시 서대문구 홍제동  ,37.57582,126.973058,지하,2,외부,2,지하2층 대합실 (다) 표 내는 곳 앞, 02-6110-3241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
78,공중화장실(장애인),서울교통공사,3호선,홍제, 서울특별시 서대문구 홍제동 161-1 홍제역 , 서울특별시 서대문구 홍제동  ,37.57582,126.973058,지하,1,외부,2,지하1층 대합실 상가(다이소) 옆, 02-6110-3241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,,,,,,,,,,,,,, 2008이전 ,2024-06-28
79,공중화장실(장애인),서울교통공사,3호선,무악재, 서울특별시 서대문구 홍제동 26-1 무악재역 , 서울특별시 서대문구 홍제동  ,37.576696,126.985804,지하,2,내부,1,지하2층 대합실 (가) 표 내는 곳 내부, 02-6110-3251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,,,2021,2024-06-28
80,공중화장실(장애인),서울교통공사,3호선,독립문, 서울특별시 서대문구 현저동 101 독립문역 , 서울특별시 서대문구 현저동  ,37.57446628,126.9579137,지하,2,내부, 3-1,지하2층 대합실 (나) 표 내는 곳 내부, 02-6110-3261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,1,,1,,,,,,1,1,,2012,2024-06-28
81,공중화장실(장애인),서울교통공사,3호선,경복궁, 서울특별시 종로구 적선동 81-1 3호선 경복궁역 , 서울특별시 종로구 적선동 8 ,37.571196,126.991959,지하,2,내부,3,지하2층 대합실 (가) 표 내는 곳 내부, 02-6110-3271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2016,2024-06-28
82,공중화장실(장애인),서울교통공사,3호선,안국, 서울특별시 종로구 안국동 155-2 3호선 안국역 , 서울특별시 종로구 안국동 1 ,37.566412,126.994185,지하,3,외부,4,지하3층 대합실 A계단 방면, 02-6110-3281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2012,2024-06-28
83,공중화장실(장애인),서울교통공사,3호선,종로3가, 서울특별시 종로구 묘동 59 종로3가역(3호선) , 서울특별시 종로구 묘동 59 ,37.57156329,126.9918758,지하,3,내부,7,지하3층, 02-6110-3291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,1,,,,,1,1,,2010,2024-06-28
84,공중화장실(장애인),서울교통공사,3호선,종로3가, 서울특별시 종로구 묘동 59 종로3가역(3호선) , 서울특별시 종로구 묘동 59 ,37.57156329,126.9918758,지하,2,내부,7,지하2층, 02-6110-3291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
85,공중화장실(장애인),서울교통공사,3호선,을지로3가, 서울특별시 중구 을지로3가 282-8 을지로3가역(3호선) , 서울특별시 중구 을지로3가  ,37.548038,127.015883,지하,2,내부,3,가 대합실 역무실 아래 지하 2층, 02-6110-3301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2019,2024-06-28
86,공중화장실(장애인),서울교통공사,3호선,동대입구, 서울특별시 중구 장충동2가 199-3 동대입구역 3호선 , 서울특별시 중구 장충동2가  ,37.55905582,127.005316,지하,2,내부,6,"대합실 2층 ""가"" 표 내는 곳 앞", 02-6110-3321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,,,,,,1,1,,2010,2024-06-28
87,공중화장실(장애인),서울교통공사,3호선,약수, 서울특별시 중구 신당동 369-44 약수역(3호선) , 서울특별시 중구 신당동 36 ,37.569744,127.046945,지하,1,내부,3,(지하1층 표 내는 곳 내 대합실), 02-6110-3331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,,,,,,1,,,2012,2024-06-28
88,공중화장실(장애인),서울교통공사,3호선,금호, 서울특별시 성동구 금호동4가 1470 금호역 , 서울특별시 성동구 금호동4가 ,37.54826092,127.0158292,지하,1,내부,4,지하1층 (가) 표 내는 곳 내 대합실, 02-6110-3341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,1,,,,,1,1,,2024,2024-06-28
89,공중화장실(장애인),서울교통공사,3호선,옥수, 서울특별시 성동구 옥수동 168-1 옥수역 , 서울특별시 성동구 옥수동 1 ,37.54156628,127.0173938,지상,3,내부,3,3층 환승통로측, 02-6110-3351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2017,2024-06-28
90,공중화장실(장애인),서울교통공사,3호선,옥수, 서울특별시 성동구 옥수동 168-1 옥수역 , 서울특별시 성동구 옥수동 1 ,37.54156628,127.0173938,지상,3,내부,7,3층 금호역측, 02-6110-3351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
91,공중화장실(장애인),서울교통공사,3호선,압구정, 서울특별시 강남구 신사동 668 압구정역 , 서울특별시 강남구 신사동 6 ,37.513082,127.011857,지하,1,외부,5,지하 1층, 02-6110-3361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,,,2009,2024-06-28
92,공중화장실(장애인),서울교통공사,3호선,신사, 서울특별시 강남구 신사동 667 신사역 , 서울특별시 강남구 신사동 6 ,37.494847,127.017286,지하,1,내부,4,지하 1층, 02-6110-3371 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,1,,2009,2024-06-28
93,공중화장실(장애인),서울교통공사,3호선,잠원, 서울특별시 서초구 잠원동 100-1 잠원역 , 서울특별시 서초구 잠원동 1 ,37.486661,127.015218,지하,1,내부,4,지하1층 표 내는 곳 내 대합실, 02-6110-3381 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2017,2024-06-28
94,공중화장실(장애인),서울교통공사,3호선,교대, 서울특별시 서초구 서초동 1748-4 교대역(3호선) , 서울특별시 서초구 서초동 1 ,37.484761,127.033371,지하,1,외부,12,대합실1층 역무실 맞은편 또는표 내는 곳 외부, 02-6110-3401 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2009,2024-06-28
95,공중화장실(장애인),서울교통공사,3호선,남부터미널, 서울특별시 서초구 서초동 1748-30 남부터미널역 , 서울특별시 서초구 서초동 1 ,37.486941,127.046621,지하,2,내부,1,대합실 B2층 역무실 앞, 02-6110-3411 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2009,2024-06-28
96,공중화장실(장애인),서울교통공사,3호선,양재, 서울특별시 서초구 서초동 1366-9 양재역 , 서울특별시 서초구 서초동 1 ,37.490825,127.055306,지하,1,내부,4,대합실 B1층 상선 방향(9-4) 또는 표 내는 곳 내, 02-6110-3421 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2019,2024-06-28
97,공중화장실(장애인),서울교통공사,3호선,매봉, 서울특별시 강남구 도곡동 179-2 매봉역 , 서울특별시 강남구 도곡동 1 ,37.494543,127.063426,지하,1,외부,2,대합실 B1층 표 내는 곳옆, 02-6110-3431 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2019,2024-06-28
98,공중화장실(장애인),서울교통공사,3호선,도곡, 서울특별시 강남구 도곡동 339-2 도곡역 , 서울특별시 강남구 도곡동 3 ,37.496679,127.071705,지하,2,외부,4,대합실  B2층  표 내는 곳 밬, 02-6110-3441 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2019,2024-06-28
99,공중화장실(장애인),서울교통공사,3호선,대치, 서울특별시 강남구 대치동 317-3 대치역 , 서울특별시 강남구 대치동 3 ,37.493686,127.079479,지하,1,내부,6,대합실 B1층 역무실 앞, 02-6110-3451 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2015,2024-06-28
100,공중화장실(장애인),서울교통공사,3호선,학여울, 서울특별시 강남구 대치동 514-3 학여울역 , 서울특별시 강남구 대치동 5 ,37.483953,127.084413,지하,4,외부,1,대합실 B4층 외부 EL 옆 (표 내는 곳 외부), 02-6110-3461 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
101,공중화장실(장애인),서울교통공사,3호선,대청, 서울특별시 강남구 일원동 700-9 대청역 , 서울특별시 강남구 일원동 7 ,37.48735,127.101842,지하,2,내부,4,대합실  B2층 상선 표 내는 곳안, 02-6110-3471 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2020,2024-06-28
102,공중화장실(장애인),서울교통공사,3호선,일원, 서울특별시 강남구 일원동 717 일원역 , 서울특별시 강남구 일원동 7 ,37.48398867,127.0841298,지하,2,외부,7,대합실 B2층 7번출입구옆 또는 역무실 앞, 02-6110-3481 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2018,2024-06-28
103,공중화장실(장애인),서울교통공사,3호선,수서, 서울특별시 강남구 수서동 728 수서역 , 서울특별시 강남구 수서동 7 ,37.48756025,127.1024105,지하,1,내부,2,대합실 B1층 역무실좌측(표 내는 곳 내부), 02-6110-3491 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2009,2024-06-28
104,공중화장실(장애인),서울교통공사,3호선,가락시장, 서울특별시 송파구 가락동 184-23 가락시장역 , 서울특별시 송파구 가락동 1 ,37.49224932,127.1176417,지하,2,내부,2,대합실 B2층 고객상담실앞(표 내는 곳 내부), 02-6110-3501 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2010,2024-06-28
105,공중화장실(장애인),서울교통공사,3호선,가락시장, 서울특별시 송파구 가락동 184-23 가락시장역 , 서울특별시 송파구 가락동 1 ,37.49224932,127.1176417,지하,2,외부,2,대합실 B2층 고객상담실앞(표 내는 곳 외부), 02-6110-3501 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,1,,1,,,,2010,2024-06-28
106,공중화장실(장애인),서울교통공사,3호선,경찰병원, 서울특별시 송파구 가락동 10-15 경찰병원역 , 서울특별시 송파구 가락동 1 ,37.49600492,127.1244824,지하,1,내부,2,대합실 B1층 역무실 앞(표 내는 곳 내부), 02-6110-3512 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2010,2024-06-28
107,공중화장실(장애인),서울교통공사,3호선,경찰병원, 서울특별시 송파구 가락동 10-15 경찰병원역 , 서울특별시 송파구 가락동 1 ,37.49600492,127.1244824,지하,1,외부,2,대합실 B1층 고객안내부스옆(표 내는 곳 외부), 02-6110-3512 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,,2010,2024-06-28
108,공중화장실(장애인),서울교통공사,3호선,오금, 서울특별시 송파구 오금동 44-2 오금역 , 서울특별시 송파구 오금동 4 ,37.50232209,127.1284828,지하,1,내부,2,대합실 B1층 1 또는2번출입구옆(표 내는 곳 내부), 02-6110-3522 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2010,2024-06-28
109,공중화장실(장애인),서울교통공사,3호선,오금, 서울특별시 송파구 오금동 44-2 오금역 , 서울특별시 송파구 오금동 4 ,37.50232209,127.1284828,지하,1,외부,2,대합실 B1층 1 또는2번출입구옆(표 내는 곳 외부), 02-6110-3522 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,1,,1,,,,,,,,,2010,2024-06-28
110,공중화장실(장애인),서울교통공사,4호선,당고개, 서울특별시 노원구 상계동 111 당고개역 , 서울특별시 노원구 상계동 1 ,37.67021684,127.0790666,지상,1,외부,4,대합실 1층 (1 또는4 출입구방향), 02-6110-4091 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,1,,,,,1,1,,2010,2024-06-28
111,공중화장실(장애인),서울교통공사,4호선,당고개, 서울특별시 노원구 상계동 111 당고개역 , 서울특별시 노원구 상계동 1 ,37.67021684,127.0790666,지상,2,외부,3,대합실 2층 역무실 앞, 02-6110-4091 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
112,공중화장실(장애인),서울교통공사,4호선,상계, 서울특별시 노원구 상계동 156-203 상계역 , 서울특별시 노원구 상계동 1 ,37.648811,127.034866,지상,2,내부,4,2층 대합실 (나) 표 내는 곳 안, 02-6110-4101 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
113,공중화장실(장애인),서울교통공사,4호선,노원, 서울특별시 노원구 상계동 602-5 노원역(4호선) , 서울특별시 노원구 상계동 6 ,37.639775,127.027208,지상,2,내부,9,2층 대합실 (나) 표 내는 곳 안, 02-6110-4111 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2013,2024-06-28
114,공중화장실(장애인),서울교통공사,4호선,창동, 서울특별시 도봉구 창동 135-1 창동역 , 서울특별시 도봉구 창동 13 ,37.629878,127.024714,지상,2,내부,1,2층 대합실 (나) 표 내는 곳 안, 02-6110-4121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
115,공중화장실(장애인),서울교통공사,4호선,쌍문, 서울특별시 도봉구 창동 703-4 쌍문역 , 서울특별시 도봉구 창동 70 ,37.615104,127.030046,지하,1,외부,2,지하1층 나환기실 옆, 02-6110-4131 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2015,2024-06-28
116,공중화장실(장애인),서울교통공사,4호선,수유, 서울특별시 강북구 수유동 140 수유역 , 서울특별시 강북구 수유동 1 ,37.603225,127.024965,지하,1,내부,2,대합실 지하1층 역무실 옆(2 또는8번 출입구방향), 02-6110-4141 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,1,,,,,1,1,,2010,2024-06-28
117,공중화장실(장애인),서울교통공사,4호선,미아, 서울특별시 강북구 미아동 194-1 미아역 , 서울특별시 강북구 미아동 1 ,37.593048,127.016714,지하,1,외부,6,대합실 지하1층 교양휴게실 앞 (3 또는4번 표 내는 곳방향), 02-6110-4151 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2022,2024-06-28
118,공중화장실(장애인),서울교통공사,4호선,미아사거리, 서울특별시 강북구 미아동 66-1 미아사거리역 , 서울특별시 강북구 미아동 6 ,37.492504,126.894962,지하,1,외부,6,지하1층 역무실 옆, 02-6110-4161 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
119,공중화장실(장애인),서울교통공사,4호선,길음, 서울특별시 성북구 길음동 877-66 길음역 , 서울특별시 성북구 길음동 8 ,37.581893,127.001953,지하,1,외부,5,지하1층 대합실 (가) 표 내는 곳 밖, 02-6110-4171 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2013,2024-06-28
120,공중화장실(장애인),서울교통공사,4호선,성신여대입구, 서울특별시 성북구 동선동4가 1 성신여대입구역 , 서울특별시 성북구 동선동4가 ,37.570385,127.009529,지하,1,내부,4,지하1층 고객 안내부스에서 10m 안쪽, 02-6110-4181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,,,,,,1,1,,2011,2024-06-28
121,공중화장실(장애인),서울교통공사,4호선,한성대입구, 서울특별시 성북구 삼선동1가 14 한성대입구역 , 서울특별시 성북구 삼선동1가 ,37.58842461,127.0060178,지하,1,외부,7,7번출입구방향 또는 (가) 표 내는 곳 쪽(표 내는 곳 외부), 02-6110-4191 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
122,공중화장실(장애인),서울교통공사,4호선,혜화, 서울특별시 종로구 명륜4가 96-5 4호선 혜화역 , 서울특별시 종로구 명륜4가  ,37.58204392,127.0194501,지하,1,외부,3,(지하1층 3번출입구 방면), 02-6110-4201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
123,공중화장실(장애인),서울교통공사,4호선,동대문, 서울특별시 종로구 종로6가 287-1 동대문역(4호선) , 서울특별시 종로구 종로6가  ,37.561159,126.994398,지하,2,내부,9,지하2층, 02-6110-4211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2019,2024-06-28
124,공중화장실(장애인),서울교통공사,4호선,동대문역사문화공원, 서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선) , 서울특별시 중구 광희동2가  ,37.56514371,127.0079152,지하,1,외부,8,지하1층 10 또는11번 기둥앞, 02-6110-4221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
125,공중화장실(장애인),서울교통공사,4호선,동대문역사문화공원, 서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선) , 서울특별시 중구 광희동2가  ,37.56514371,127.0079152,지하,2,내부,8,지하2층 내부계단 옆, 02-6110-4221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2010,2024-06-28
126,공중화장실(장애인),서울교통공사,4호선,충무로, 서울특별시 중구 필동2가 16-2 충무로역(3 또는 4호선) , 서울특별시 중구 필동2가 1 ,37.535982,126.971351,지하,2,내부,3,지하2층 3 또는4 또는5 또는6 또는7번 출입구쪽 또는 표 내는 곳 내부, 02-6110-4231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2012,2024-06-28
127,공중화장실(장애인),서울교통공사,4호선,명동, 서울특별시 중구 충무로2가 109-2 명동역 4호선 , 서울특별시 중구 충무로2가  ,37.545528,126.97197,지하,1,내부,5,지하1층 2 또는3 또는4 또는5 또는6 또는7 또는8번 출입구쪽 또는 표 내는 곳 내부, 02-6110-4241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,1,,,,,1,1,,2017,2024-06-28
128,공중화장실(장애인),서울교통공사,4호선,회현, 서울특별시 중구 남창동 64-1 회현역 4호선 , 서울특별시 중구 남창동 64 ,37.534394,126.973014,지하,2,내부,3,표 내는 곳 내부 지하2층 , 02-6110-4251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,1,,,,,1,1,,2012,2024-06-28
129,공중화장실(장애인),서울교통공사,4호선,서울, 서울특별시 중구 용산구 동자동 14-151 서울역(4호선) , 서울특별시 중구 용산구 동자 ,37.529364,126.968299,지하,1,외부,11,14번 출입구  옆 또는 11번 출입구 물품보관함 건너편, 02-6110-4261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2015,2024-06-28
130,공중화장실(장애인),서울교통공사,4호선,숙대입구, 서울특별시 용산구 갈월동 16-7 숙대입구역 , 서울특별시 용산구 갈월동 1 ,37.522481,126.973671,지하,1,외부,9,지하1층 가대합실과 나대합실 연결통로 가운데 위치, 02-6110-4271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,1,,,,,1,1,,2012,2024-06-28
131,공중화장실(장애인),서울교통공사,4호선,삼각지, 서울특별시 용산구 한강로1가 228-1 삼각지역(4호선) , 서울특별시 용산구 한강로1가 ,37.503465,126.979927,지하,1,외부,3,신용산측, 02-6110-4281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,1,,,,,1,1,,2010,2024-06-28
132,공중화장실(장애인),서울교통공사,4호선,신용산, 서울특별시 용산구 한강로2가 181 4호선 신용산역 , 서울특별시 용산구 한강로2가 ,37.487514,126.982162,지하,1,외부,4,지하1층 삼각지측, 02-6110-4291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2016,2024-06-28
133,공중화장실(장애인),서울교통공사,4호선,이촌, 서울특별시 용산구 용산동5가 17-112 4호선 이촌역 , 서울특별시 용산구 용산동5가 ,37.52237348,126.9745201,지하,1,내부,3,지하1층 3번출입구 앞, 02-6110-4301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2012,2024-06-28
134,공중화장실(장애인),서울교통공사,4호선,동작, 서울특별시 동작구 동작동 327-1 4호선 동작역 , 서울특별시 동작구 동작동 3 ,37.50297958,126.9803148,지상,2,내부,1,대합실 2층 구내식당좌측, 02-6110-4311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,1,,,,,1,1,,2010,2024-06-28
135,공중화장실(장애인),서울교통공사,4호선,총신대입구, 서울특별시 동작구 사당동 736-1 총신대역4호선 , 서울특별시 동작구 사당동 7 ,37.4867996,126.9822119,지하,1,내부,1,지하1층 동작측, 02-6110-4321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2016,2024-06-28
136,공중화장실(장애인),서울교통공사,4호선,사당, 서울특별시 동작구 사당동 588-4 사당역(4호선) , 서울특별시 동작구 사당동 5 ,37.47759121,126.9816985,지하,1,외부,12,(지하1층 총신대측), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
137,공중화장실(장애인),서울교통공사,4호선,사당, 서울특별시 동작구 사당동 588-4 사당역(4호선) , 서울특별시 동작구 사당동 5 ,37.47759121,126.9816985,지하,1,외부,3,(지하1층 남태령측), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
138,공중화장실(장애인),서울교통공사,4호선,사당, 서울특별시 동작구 사당동 588-4 사당역(4호선) , 서울특별시 동작구 사당동 5 ,37.47759121,126.9816985,지하,2,내부,12,(지하2층 환승통로), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2020,2024-06-28
139,공중화장실(장애인),서울교통공사,4호선,남태령, 서울특별시 서초구 방배동 2909 남태령역 , 서울특별시 서초구 방배동 2 ,37.588021,127.005797,지하,2,내부,2,(지하2층 역무실 옆), 02-6110-4341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,1,,1,,,,,,,,, 2008이전 ,2024-06-28
140,공중화장실(장애인),서울교통공사,5호선,방화, 서울특별시 강서구 방화동 829-15 방화역 , 서울특별시 강서구 방화동 8 ,37.577622,126.810637,지하,1,외부,3 또는4,대합실 1층 3 또는4번출입구방향 앞, 02-6311-5101 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2015,2024-06-28
141,공중화장실(장애인),서울교통공사,5호선,개화산, 서울특별시 강서구 방화동 846 개화산역 , 서울특별시 강서구 방화동 8 ,37.572455,126.80465,지하,1,외부,1 또는2,대합실 지하1층 하선EL 옆 , 02-6311-5111 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2015,2024-06-28
142,공중화장실(장애인),서울교통공사,5호선,김포공항, 서울특별시 강서구 방화동 886 김포공항역 , 서울특별시 강서구 방화동 8 ,37.56209982,126.8012568,지하,1,외부,1,대합실 지하 1층 또는 1번출입구 옆(지하철경찰센터 옆), 02-6311-5121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
143,공중화장실(장애인),서울교통공사,5호선,김포공항, 서울특별시 강서구 방화동 886 김포공항역 , 서울특별시 강서구 방화동 8 ,37.56209982,126.8012568,지하,2,외부,1,대합실 지하 2층 또는1번출입구 아래(국내선 연결통로 방면), 02-6311-5121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
144,공중화장실(장애인),서울교통공사,5호선,송정, 서울특별시 강서구 공항동 29-5 송정역 , 서울특별시 강서구 공항동 2 ,36.344485,126.875648,지하,2,외부,1 또는2,대합실 2층 ES 1호기 앞, 02-6311-5131 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
145,공중화장실(장애인),서울교통공사,5호선,마곡, 서울특별시 강서구 가양동 530-6 마곡역 , 서울특별시 강서구 가양동 5 ,37.561084,126.823603,지하,1,외부,2,지하1층 대합실 2번출입구 하단, 02-6311-5141 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,, 2008이전 ,2024-06-28
146,공중화장실(장애인),서울교통공사,5호선,발산, 서울특별시 강서구 가양동 967-3 발산역 , 서울특별시 강서구 가양동 9 ,37.55867774,126.8377364,지하,1,외부,1 또는9,대합실 1층 1 또는 9번 출입구 사이, 02-6311-5151 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2009,2024-06-28
147,공중화장실(장애인),서울교통공사,5호선,우장산, 서울특별시 강서구 화곡동 1089-3 우장산역 , 서울특별시 강서구 화곡동 1 ,37.54881619,126.8363263,지하,1,외부,2,지하1층 대합실 2번출입구 앞, 02-6311-5161 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
